"year","ticker.x","ret_closing_prices.x","bd_best","side_a","side_a_2nd","side_b","side_b_2nd","ticker.y","ret_closing_prices.y"
1990,"BA",NA,0,NA,NA,NA,NA,"^GSPC",NA
1991,"BA",0.0523415977961432,21790,"Government of Iraq",NA,"Government of Kuwait","Government of Syria, Government of Oman, Government of Senegal, Government of Portugal, Government of Italy, Government of Netherlands, Government of Egypt, Government of Bahrain, Government of Australia, Government of France, Government of Belgium, Government of United Arab Emirates, Government of Niger, Government of Czechoslovakia, Government of Denmark, Government of Bangladesh, Government of Greece, Government of Qatar, Government of Honduras, Government of United States of America, Government of Canada, Government of Spain, Government of Argentina, Government of Saudi Arabia, Government of Norway, Government of Pakistan, Government of Turkey, Government of Morocco, Government of Sierra Leone, Government of United Kingdom","^GSPC",0.26306703045261
1992,"BA",-0.159685863874346,0,NA,NA,NA,NA,"^GSPC",0.044642631759749
1993,"BA",0.0778816199376946,0,NA,NA,NA,NA,"^GSPC",0.0705515626329685
1994,"BA",0.0867052023121386,0,NA,NA,NA,NA,"^GSPC",-0.0153929102914732
1995,"BA",0.667553191489362,0,NA,NA,NA,NA,"^GSPC",0.341106554770871
1996,"BA",0.358851674641148,0,NA,NA,NA,NA,"^GSPC",0.202636661703033
1997,"BA",-0.0809859154929577,0,NA,NA,NA,NA,"^GSPC",0.310081817465709
1998,"BA",-0.333333333333333,0,NA,NA,NA,NA,"^GSPC",0.266685891559653
1999,"BA",0.270114942528736,1404,"Government of Serbia (Yugoslavia)",NA,"UCK","Government of Germany, Government of Portugal, Government of Italy, Government of Netherlands, Government of France, Government of Belgium, Government of Denmark, Government of Greece, Government of United States of America, Government of Canada, Government of Iceland, Government of Luxembourg, Government of Hungary, Government of Spain, Government of Poland, Government of Norway, Government of Czech Republic, Government of Turkey, Government of United Kingdom","^GSPC",0.195260466588784
2000,"BA",0.592760180995475,0,NA,NA,NA,NA,"^GSPC",-0.101391846658584
2001,"BA",-0.412424260919744,2980,"Government of Afghanistan",NA,"Government of United States of America, Government of United Kingdom",NA,"^GSPC",-0.130426931727426
2002,"BA",-0.149303694767549,878,"Government of United States of America","Government of Germany, Government of Japan, Government of Afghanistan, Government of Jordan, Government of Italy, Government of Netherlands, Government of France, Government of Australia, Government of Romania, Government of New Zealand, Government of Denmark, Government of Greece, Government of Canada, Government of Lithuania, Government of Spain, Government of Poland, Government of Norway, Government of Pakistan, Government of Turkey, Government of United Kingdom","al-Qaida",NA,"^GSPC",-0.233659639571036
2003,"BA",0.277356691289713,8652,"Government of Afghanistan","Government of Denmark, Government of France, Government of Australia, Government of Germany, Government of Poland, Government of New Zealand, Government of Romania, Government of Norway, Government of Italy, Government of Netherlands, Government of United States of America, Government of United Kingdom","Taleban, Hizb-i Islami-yi Afghanistan",NA,"^GSPC",0.263803999328198
2004,"BA",0.22852399638337,5183,"Government of Iraq","Government of Mongolia, Government of Azerbaijan, Government of Dominican Republic, Government of Slovakia, Government of Portugal, Government of El Salvador, Government of Italy, Government of Netherlands, Government of Australia, Government of Romania, Government of Kazakhstan, Government of Georgia, Government of Moldova, Government of Tonga, Government of Nicaragua, Government of Denmark, Government of South Korea, Government of Honduras, Government of Philippines, Government of Albania, Government of Bulgaria, Government of United States of America, Government of Lithuania, Government of North Macedonia, Government of Spain, Government of Poland, Government of Ukraine, Government of Estonia, Government of Norway, Government of Czech Republic, Government of Latvia, Government of United Kingdom","Ansar al-Islam, al-Mahdi Army, IS",NA,"^GSPC",0.0899345241094676
2005,"BA",0.356770277046347,4344,"Government of Iraq","Government of Mongolia, Government of Azerbaijan, Government of Slovakia, Government of Portugal, Government of El Salvador, Government of Italy, Government of Netherlands, Government of Australia, Government of Romania, Government of Kazakhstan, Government of Georgia, Government of Moldova, Government of Denmark, Government of Armenia, Government of South Korea, Government of Bosnia-Herzegovina, Government of Albania, Government of Bulgaria, Government of United States of America, Government of Lithuania, Government of North Macedonia, Government of Ukraine, Government of Poland, Government of Estonia, Government of Norway, Government of Czech Republic, Government of Latvia, Government of United Kingdom","Ansar al-Islam, IS, RJF",NA,"^GSPC",0.0300102265812749
2006,"BA",0.264806364461966,8903,"Government of Iraq","Government of Mongolia, Government of Azerbaijan, Government of Slovakia, Government of El Salvador, Government of Australia, Government of Romania, Government of Kazakhstan, Government of Georgia, Government of Moldova, Government of Denmark, Government of Armenia, Government of South Korea, Government of Bosnia-Herzegovina, Government of Albania, Government of Bulgaria, Government of United States of America, Government of Lithuania, Government of North Macedonia, Government of Poland, Government of Estonia, Government of Czech Republic, Government of Latvia, Government of United Kingdom","Ansar al-Islam, IS, RJF",NA,"^GSPC",0.136194317382607
2007,"BA",-0.0155335131731584,9246,"Government of Iraq","Government of Mongolia, Government of Azerbaijan, Government of Slovakia, Government of El Salvador, Government of Australia, Government of Romania, Government of Kazakhstan, Government of Georgia, Government of Moldova, Government of Tonga, Government of Denmark, Government of Armenia, Government of South Korea, Government of Bosnia-Herzegovina, Government of Albania, Government of Bulgaria, Government of United States of America, Government of Lithuania, Government of North Macedonia, Government of Poland, Government of Estonia, Government of Czech Republic, Government of Latvia, Government of United Kingdom","Ansar al-Islam, al-Mahdi Army, IS, RJF",NA,"^GSPC",0.0352957306634796
2008,"BA",-0.512119842035068,8058,"Government of Iraq","Government of Mongolia, Government of Azerbaijan, Government of El Salvador, Government of Australia, Government of Romania, Government of Kazakhstan, Government of Georgia, Government of Moldova, Government of Tonga, Government of Armenia, Government of South Korea, Government of Bosnia-Herzegovina, Government of Albania, Government of Bulgaria, Government of United States of America, Government of Lithuania, Government of North Macedonia, Government of Ukraine, Government of Poland, Government of Estonia, Government of Czech Republic, Government of Latvia, Government of United Kingdom","al-Mahdi Army, IS",NA,"^GSPC",-0.384857930609067
2009,"BA",0.268572847221502,8013,"Government of Yemen (North Yemen)","Government of United States of America","AQAP",NA,"^GSPC",0.234541904883407
2010,"BA",0.205616125041447,8531,"Government of Yemen (North Yemen)","Government of United States of America","AQAP",NA,"^GSPC",0.127827138537602
2011,"BA",0.123965615584914,9630,"Government of Yemen (North Yemen)","Government of United States of America","AQAP",NA,"^GSPC",-3.18366639369128e-05
2012,"BA",0.027402892679536,10286,"Government of Yemen (North Yemen)","Government of United States of America","AQAP",NA,"^GSPC",0.13405690926621
